,ID_REF,VALUE
213,201070_x_at,8.1527
214,201079_at,6.3664
215,201081_s_at,7.2943
216,201083_s_at,7.919
217,201087_at,7.0812
218,201101_s_at,7.8689
219,201103_x_at,10.0524
220,201104_x_at,8.707
221,201110_s_at,3.0468
222,201115_at,8.4984
223,201120_s_at,9.4527
224,201122_x_at,8.7496
225,201123_s_at,7.1467
226,201124_at,5.455
227,201125_s_at,7.2523
228,201131_s_at,5.2323
229,201136_at,5.9148
230,201137_s_at,6.9055
231,201140_s_at,9.7195
232,201141_at,8.4604
233,201146_at,9.0782
234,201147_s_at,6.9932
235,201148_s_at,7.3784
236,201149_s_at,6.7405
237,201150_s_at,8.9599
238,201151_s_at,7.4656
239,201152_s_at,9.7529
240,201156_s_at,8.4945
241,201159_s_at,6.7986
242,201160_s_at,7.5969
243,201161_s_at,5.9615
244,201162_at,9.7038
245,201163_s_at,10.3431
246,201164_s_at,9.9263
247,201167_x_at,5.9982
248,201168_x_at,9.2223
249,201169_s_at,7.3056
250,201171_at,4.7146
251,201172_x_at,9.2444
252,201182_s_at,5.1665
253,201185_at,10.4572
254,201187_s_at,5.8892
255,201188_s_at,6.1171
256,201195_s_at,8.701
257,201202_at,8.046
258,201208_s_at,6.5025
259,201209_at,6.8823
260,201211_s_at,7.5783
261,201219_at,6.5583
262,201223_s_at,9.4295
263,201229_s_at,9.5782
264,201235_s_at,5.4944
265,201236_s_at,8.0763
266,201237_at,9.0761
267,201245_s_at,8.9758
268,201249_at,3.2191
269,201250_s_at,9.4392
270,201259_s_at,7.8004
271,201260_s_at,8.0231
272,201262_s_at,5.4537
273,201278_at,6.3905
274,201279_s_at,6.2386
275,201280_s_at,6.6589
276,201282_at,8.3171
277,201283_s_at,5.5594
278,201284_s_at,8.1474
279,201288_at,7.9097
280,201289_at,6.1547
281,201294_s_at,8.153
282,201295_s_at,6.8526
283,201296_s_at,10.0498
284,201299_s_at,6.1855
285,201301_s_at,6.7556
286,201302_at,7.1991
287,201305_x_at,8.9343
288,201306_s_at,9.6509
289,201308_s_at,6.6614
290,201309_x_at,8.4424
291,201311_s_at,9.3694
292,201315_x_at,10.6445
293,201319_at,7.6624
294,201324_at,6.1643
295,201325_s_at,5.2476
296,201329_s_at,8.5041
297,201332_s_at,5.4556
298,201333_s_at,6.4857
299,201335_s_at,7.8513
300,201336_at,9.5173
301,201337_s_at,7.7315
302,201340_s_at,11.1524
303,201346_at,8.729
304,201348_at,9.7065
305,201349_at,8.386
306,201353_s_at,7.4675
307,201356_at,8.7038
308,201357_s_at,6.2159
309,201360_at,12.3994
310,201363_s_at,7.6689
311,201367_s_at,6.4523
312,201368_at,8.2515
313,201369_s_at,6.2958
314,201370_s_at,9.0635
315,201372_s_at,7.4752
316,201373_at,7.9657
317,201374_x_at,6.5429
318,201380_at,7.0874
319,201382_at,5.9894
320,201388_at,9.1655
321,201389_at,6.02
322,201394_s_at,8.3518
323,201397_at,9.5299
324,201398_s_at,8.9537
325,201401_s_at,7.2331
326,201404_x_at,4.3893
327,201411_s_at,9.6949
328,201412_at,8.0193
329,201416_at,5.0916
330,201417_at,7.5055
331,201418_s_at,4.3561
332,201422_at,6.3883
333,201424_s_at,8.5622
334,201425_at,11.3572
335,201426_s_at,10.0119
336,201427_s_at,10.357
337,201432_at,9.0844
338,201439_at,7.5666
339,201442_s_at,4.4923
340,201445_at,9.0599
341,201446_s_at,7.5676
342,201447_at,7.0739
343,201448_at,8.1527
344,201449_at,7.3906
345,201450_s_at,6.8462
346,201451_x_at,4.0167
347,201452_at,5.1434
348,201456_s_at,8.54
349,201461_s_at,4.9774
350,201462_at,11.4047
351,201464_x_at,9.4715
352,201465_s_at,6.933
353,201466_s_at,7.8957
354,201467_s_at,6.1669
355,201468_s_at,7.4285
356,201469_s_at,5.4533
357,201473_at,6.5699
358,201476_s_at,7.6132
359,201481_s_at,9.4161
360,201483_s_at,8.315
361,201486_at,9.7824
362,201487_at,5.5591
363,201490_s_at,7.5421
364,201493_s_at,9.4467
365,201496_x_at,5.086
