,ID_REF,VALUE
0,AFFX-BioC-5_at,8.9863
1,AFFX-BioC-3_at,9.2136
2,AFFX-BioDn-5_at,10.3848
3,AFFX-DapX-5_at,8.9698
4,AFFX-DapX-M_at,9.904
5,AFFX-DapX-3_at,10.0703
6,AFFX-LysX-5_at,6.2665
7,AFFX-LysX-M_at,6.3798
8,AFFX-LysX-3_at,8.0263
9,AFFX-PheX-5_at,7.156
10,AFFX-PheX-M_at,7.9325
11,AFFX-PheX-3_at,7.2433
12,AFFX-ThrX-5_at,7.5618
13,AFFX-ThrX-M_at,7.7992
14,AFFX-TrpnX-5_at,4.1162
15,AFFX-TrpnX-M_at,4.2262
16,AFFX-r2-Bs-dap-5_at,9.0378
17,AFFX-r2-Bs-dap-M_at,9.8529
18,AFFX-r2-Bs-dap-3_at,10.0481
19,AFFX-r2-Bs-lys-5_at,5.9598
20,AFFX-r2-Bs-lys-M_at,5.9089
21,AFFX-r2-Bs-lys-3_at,6.5847
22,AFFX-r2-Bs-phe-5_at,6.4926
23,AFFX-r2-Bs-phe-M_at,6.9807
24,AFFX-r2-Bs-phe-3_at,8.344
25,AFFX-r2-Bs-thr-3_s_at,8.3259
26,AFFX-r2-Bs-thr-M_s_at,8.2643
27,AFFX-r2-Bs-thr-5_s_at,8.1447
28,AFFX-HUMISGF3A/M97935_5_at,5.2142
29,AFFX-HUMISGF3A/M97935_MB_at,5.9164
30,AFFX-HUMRGE/M10098_5_at,8.9035
31,AFFX-HUMRGE/M10098_M_at,8.4169
32,AFFX-HUMRGE/M10098_3_at,7.9764
33,AFFX-HSAC07/X00351_5_at,9.9201
34,AFFX-M27830_5_at,9.1279
35,AFFX-M27830_M_at,11.0292
36,AFFX-M27830_3_at,6.7457
37,1007_s_at,9.9371
38,1053_at,6.0089
39,117_at,5.2991
40,121_at,8.1437
41,1255_g_at,5.1545
42,1294_at,7.7985
43,1316_at,7.7177
44,1320_at,5.0332
45,1431_at,5.8649
46,1438_at,5.0811
47,1487_at,7.5222
48,1494_f_at,7.1655
49,160020_at,6.9187
50,1729_at,5.9478
51,1773_at,5.3639
52,177_at,4.0605
53,179_at,7.1343
54,200008_s_at,8.1039
55,200009_at,9.9038
56,200015_s_at,10.8303
57,200048_s_at,10.1797
58,200053_at,9.4105
59,200055_at,9.188
60,200069_at,7.3709
61,200072_s_at,8.82
62,200073_s_at,10.1718
63,200096_s_at,9.3713
64,200593_s_at,8.3456
65,200594_x_at,10.3012
66,200597_at,7.719
67,200600_at,8.505
68,200604_s_at,7.7605
69,200606_at,5.6925
70,200607_s_at,8.2029
